Time (s),G0_Short,G0_Long1,G0_Long2,G0_Emitter,G1_Short,G1_Long1,G1_Long2,G1_Emitter,G2_Short,G2_Long1,G2_Long2,G2_Emitter,G3_Short,G3_Long1,G3_Long2,G3_Emitter,G4_Short,G4_Long1,G4_Long2,G4_Emitter,G5_Short,G5_Long1,G5_Long2,G5_Emitter,G6_Short,G6_Long1,G6_Long2,G6_Emitter,G7_Short,G7_Long1,G7_Long2,G7_Emitter
0.0,1701,1552,1316,1,1990,1969,1968,1,1980,1952,1946,1,409,235,199,1,2076,2055,2054,1,2066,2035,2040,1,2015,1990,1980,1,2036,2021,2011,1
0.001,1723,1681,1536,1,1990,1970,1969,1,1980,1953,1947,1,414,240,201,1,2077,2057,2051,1,2068,2038,2038,1,2016,1993,1982,1,2038,2025,2011,1
0.002,1800,1854,1698,1,1993,1979,1972,1,1981,1961,1948,1,409,253,203,1,2075,2064,2053,1,2064,2044,2039,1,2012,1999,1982,1,2033,2031,2011,1
0.003,1905,2207,2491,1,1997,1979,1983,1,1985,1961,1957,1,411,253,211,1,2079,2064,2059,1,2068,2044,2046,1,2017,1999,1990,1,2036,2031,2017,1
0.004,1905,2382,2626,1,1997,1985,1987,1,1985,1968,1960,1,411,259,213,1,2079,2071,2062,1,2068,2051,2049,1,2017,2007,1996,1,2036,2039,2020,1
0.005,2048,2309,2626,1,2002,1987,1987,1,1989,1970,1960,1,410,262,213,1,2085,2074,2062,1,2073,2055,2049,1,2022,2012,1996,1,2043,2045,2020,1
0.006,2066,2282,2553,1,2004,1987,1989,1,1991,1970,1962,1,408,256,215,1,2085,2072,2064,1,2072,2052,2052,1,2022,2009,2001,1,2043,2042,2023,1
0.007,2003,2176,2394,1,2005,1987,1989,1,1993,1970,1963,1,414,259,216,1,2088,2075,2064,1,2078,2057,2053,1,2028,2014,2004,1,2049,2048,2026,1
0.008,1988,2079,2300,1,2005,1987,1989,1,1992,1972,1964,1,409,266,216,1,2087,2081,2067,1,2076,2064,2056,1,2027,2016,2004,1,2047,2048,2028,1
0.009,1876,1993,2070,1,2002,1986,1987,1,1989,1971,1963,1,401,258,214,1,2084,2077,2066,1,2073,2059,2056,1,2024,2016,2006,1,2046,2048,2028,1
0.009,1865,1581,2070,1,2002,1978,1987,1,1989,1964,1963,1,401,249,214,1,2084,2071,2066,1,2073,2054,2056,1,2024,2011,2006,1,2046,2043,2028,1
0.011,1767,1581,1336,1,1998,1978,1977,1,1985,1964,1955,1,398,249,205,1,2081,2071,2060,1,2070,2054,2050,1,2021,2011,2000,1,2041,2043,2022,1
0.012,1767,1465,1214,1,1998,1973,1974,1,1985,1959,1952,1,398,245,202,1,2081,2066,2057,1,2070,2049,2047,1,2021,2005,1998,1,2041,2037,2019,1
0.013,1643,1524,1214,1,1992,1972,1974,1,1978,1958,1952,1,390,247,202,1,2075,2066,2057,1,2064,2048,2047,1,2020,2004,1998,1,2039,2037,2019,1
0.014,1643,1529,1262,1,1989,1970,1972,1,1976,1955,1950,1,387,239,200,1,2072,2060,2054,1,2059,2041,2043,1,2013,1997,1995,1,2033,2030,2015,1
0.015,1700,1630,1412,1,1990,1970,1971,1,1977,1954,1949,1,395,243,201,1,2073,2062,2051,1,2061,2044,2040,1,2014,2000,1994,1,2034,2033,2013,1
0.016,1732,1733,1494,1,1989,1972,1971,1,1976,1954,1948,1,392,246,200,1,2071,2061,2052,1,2058,2041,2040,1,2010,1998,1990,1,2030,2030,2013,1
0.017,1782,1813,1748,1,1989,1971,1971,1,1977,1954,1948,1,395,246,201,1,2072,2061,2051,1,2058,2041,2038,1,2010,1998,1986,1,2028,2030,2010,1
0.018,1782,1998,2025,1,1989,1973,1974,1,1977,1955,1950,1,395,248,203,1,2072,2060,2052,1,2058,2040,2038,1,2010,1996,1988,1,2028,2027,2010,1
0.019,1982,2213,2025,1,1995,1978,1974,1,1982,1960,1950,1,400,255,203,1,2076,2065,2052,1,2061,2045,2038,1,2012,2002,1988,1,2033,2033,2010,1
0.02,2120,2474,2407,1,1999,1981,1980,1,1985,1962,1955,1,401,251,208,1,2078,2064,2056,1,2063,2043,2043,1,2014,1999,1993,1,2035,2031,2014,1
0.021,2089,2449,2511,1,2002,1984,1984,1,1989,1965,1959,1,411,257,212,1,2083,2070,2059,1,2070,2050,2047,1,2021,2007,1999,1,2042,2039,2019,1
0.022,2175,2345,2617,1,2004,1986,1987,1,1989,1968,1962,1,404,266,214,1,2082,2077,2063,1,2068,2059,2051,1,2019,2012,2000,1,2041,2044,2023,1
0.023,2187,2285,2517,1,2006,1987,1988,1,1991,1969,1964,1,404,260,216,1,2086,2074,2064,1,2074,2056,2053,1,2024,2012,2004,1,2046,2044,2026,1
0.023,2124,2120,2517,1,2006,1987,1988,1,1991,1970,1964,1,404,257,216,1,2086,2075,2064,1,2074,2058,2053,1,2024,2014,2004,1,2046,2046,2026,1
0.025,2086,2120,2262,1,2006,1987,1988,1,1992,1970,1965,1,406,257,214,1,2087,2075,2066,1,2076,2058,2056,1,2026,2014,2006,1,2046,2046,2029,1
0.025,2086,1870,1946,1,2006,1985,1985,1,1992,1968,1962,1,406,256,211,1,2087,2074,2065,1,2076,2059,2055,1,2026,2015,2006,1,2046,2046,2028,1
0.027,1900,1728,1946,1,2000,1982,1985,1,1986,1965,1962,1,396,255,211,1,2083,2073,2065,1,2073,2057,2055,1,2026,2014,2006,1,2048,2046,2028,1
0.028,1764,1522,1589,1,1996,1977,1980,1,1982,1961,1957,1,390,245,206,1,2078,2067,2060,1,2067,2050,2051,1,2019,2007,2003,1,2040,2039,2024,1
0.029,1838,1564,1474,1,1994,1975,1976,1,1981,1959,1953,1,396,249,204,1,2078,2069,2056,1,2068,2053,2046,1,2020,2009,2000,1,2041,2040,2018,1
0.03,1796,1661,1354,1,1991,1974,1973,1,1978,1958,1950,1,393,247,201,1,2075,2064,2056,1,2064,2046,2044,1,2015,2002,1995,1,2035,2033,2018,1
0.031,1844,1686,1456,1,1990,1972,1970,1,1977,1955,1947,1,395,247,199,1,2074,2064,2053,1,2063,2046,2041,1,2014,2002,1989,1,2032,2033,2013,1
0.032,1844,1844,1584,1,1990,1972,1970,1,1977,1954,1947,1,395,245,199,1,2074,2060,2052,1,2063,2042,2040,1,2014,1997,1989,1,2032,2029,2011,1
0.033,1926,1914,1584,1,1989,1972,1970,1,1976,1954,1947,1,395,246,199,1,2073,2060,2052,1,2060,2042,2040,1,2009,1998,1989,1,2030,2032,2011,1
0.034,1971,1979,1761,1,1990,1972,1971,1,1976,1953,1947,1,393,241,199,1,2071,2057,2052,1,2057,2037,2039,1,2006,1992,1989,1,2027,2026,2009,1
0.035,2010,2126,2158,1,1991,1974,1976,1,1977,1956,1951,1,400,247,205,1,2073,2060,2052,1,2060,2040,2039,1,2009,1995,1991,1,2031,2029,2010,1
0.036,2201,2252,2472,1,1995,1979,1980,1,1980,1962,1954,1,398,259,208,1,2074,2069,2056,1,2059,2050,2042,1,2007,2005,1990,1,2030,2035,2012,1
0.037,2387,2490,2718,1,1999,1983,1985,1,1988,1964,1958,1,404,256,212,1,2081,2068,2059,1,2068,2048,2045,1,2016,2003,1995,1,2040,2035,2016,1
0.037,2327,2452,2718,1,2002,1987,1985,1,1988,1968,1958,1,404,257,212,1,2081,2072,2059,1,2068,2053,2045,1,2016,2009,1995,1,2040,2041,2016,1
0.038,2312,2452,2733,1,2004,1987,1990,1,1991,1968,1963,1,408,257,215,1,2084,2072,2064,1,2072,2053,2052,1,2021,2009,2001,1,2042,2041,2024,1
0.04,2312,2285,2601,1,2004,1988,1991,1,1991,1971,1964,1,408,260,215,1,2084,2075,2065,1,2072,2058,2054,1,2021,2014,2004,1,2042,2045,2026,1
0.04,2240,2209,2601,1,2005,1988,1991,1,1992,1971,1964,1,406,261,215,1,2088,2077,2065,1,2076,2061,2054,1,2031,2018,2004,1,2052,2050,2026,1
0.042,2196,2148,2436,1,2005,1987,1991,1,1991,1970,1964,1,401,254,214,1,2086,2074,2065,1,2074,2057,2055,1,2028,2013,2007,1,2049,2045,2027,1
