Group ID,Avg Short,Avg Long1,Avg Long2,Emitter
0,2221,2223,2072,2
0,2015,1997,2023,1
0,2036,2034,2025,2
240,2042,2039,2054,1
240,2040,2039,2050,1
240,2040,2038,2042,1
240,2039,2030,2048,1
240,2036,2038,2044,1
240,2039,2034,2036,1
240,2036,2031,2039,1
240,2036,2035,2043,1
240,2039,2042,2043,1
240,2040,2042,2048,1
240,2040,2047,2048,1
240,2042,2044,2050,1
240,2037,2048,2052,1
240,2038,2049,2041,1
240,2039,2053,2047,1
240,2042,2053,2053,1
240,2042,2056,2055,1
240,2045,2056,2055,1
240,2042,2055,2059,1
240,2042,2057,2050,1
240,2042,2048,2055,1
240,2042,2054,2050,1
240,2039,2055,2050,1
240,2043,2055,2049,1
240,2043,2052,2058,1
240,2044,2056,2047,1
240,2047,2046,2053,1
240,2043,2051,2055,1
240,2038,2048,2051,1
240,2041,2048,2044,1
240,2041,2045,2052,1
240,2043,2054,2052,1
240,2048,2042,2054,1
240,2043,2044,2060,1
240,2047,2050,2054,1
240,2044,2046,2062,1
240,2044,2040,2062,1
240,2041,2040,2046,1
240,2041,2031,2042,1
240,2036,2033,2035,1
240,2043,2028,2030,1
240,2040,2026,2043,1
240,2042,2038,2034,1
240,2039,2029,2037,1
240,2039,2026,2033,1
240,2039,2024,2033,1
240,2041,2024,2024,1
240,2039,2019,2035,1
240,2039,2031,2030,1
240,2051,2024,2033,1
240,2045,2026,2033,1
240,2042,2026,2041,1
240,2042,2030,2032,1
240,2038,2021,2032,1
240,2033,2034,2028,1
240,2036,2029,2023,1
240,2032,2026,2027,1
240,2037,2028,2021,1
240,2036,2033,2021,1
240,2037,2027,2021,1
240,2033,2027,2029,1
240,2037,2027,2021,1
240,2031,2019,2031,1
240,2032,2026,2022,1
240,2033,2020,2027,1
240,2037,2020,2027,1
240,2037,2044,2038,1
240,2038,2045,2038,1
240,2035,2055,2051,1
240,2041,2058,2040,1
240,2039,2045,2053,1
240,2030,2055,2047,1
240,2036,2057,2051,1
240,2040,2057,2051,1
240,2040,2057,2055,1
240,2044,2062,2047,1
240,2045,2052,2059,1
240,2036,2063,2057,1
240,2041,2056,2038,1
240,2039,2056,2047,1
240,2039,2051,2057,1
240,2040,2063,2057,1
240,2044,2063,2061,1
240,2040,2069,2064,1
240,2047,2066,2058,1
240,2043,2064,2068,1
240,2044,2054,2072,1
240,2040,2063,2072,1
240,2044,2063,2063,1
240,2044,2060,2069,1
240,2049,2065,2053,1
240,2051,2057,2067,1
240,2048,2069,2064,1
240,2044,2069,2069,1
240,2044,2047,2057,1
240,2041,2044,2057,1
240,2044,2044,2045,1
240,2037,2032,2055,1
240,2040,2047,2039,1
240,2052,2035,2045,1
240,2044,2041,2046,1
240,2043,2035,2046,1
240,2043,2035,2042,1
240,2043,2031,2047,1
240,2038,2040,2034,1
240,2047,2026,2030,1
240,2039,2029,2051,1
240,2045,2044,2036,1
240,2045,2034,2038,1
240,2041,2022,2038,1
240,2036,2022,2036,1
240,2038,2019,2025,1
240,2031,2015,2030,1
240,2035,2018,2020,1
240,2033,2009,2029,1
240,2035,2008,2024,1
240,2032,2008,2031,1
240,2032,2013,2023,1
240,2030,2009,2039,1
240,2031,2021,2029,1
240,2032,2015,2029,1
240,2028,2020,2027,1
240,2028,2017,2027,1
240,2033,2024,2027,1
240,2033,2024,2040,1
240,2033,2034,2030,1
240,2034,2027,2047,1
240,2028,2046,2045,1
240,2034,2042,2030,1
240,2029,2030,2042,1
240,2029,2036,2046,1
240,2029,2044,2042,1
240,2032,2040,2042,1
240,2029,2058,2050,1
240,2037,2057,2038,1
240,2035,2042,2055,1
240,2028,2052,2045,1
240,2031,2056,2045,1
240,2036,2056,2052,1
240,2036,2059,2059,1
240,2044,2062,2051,1
240,2043,2062,2065,1
240,2044,2069,2057,1
240,2046,2058,2064,1
240,2048,2067,2059,1
240,2048,2063,2066,1
240,2043,2067,2066,1
240,2043,2055,2070,1
240,2041,2064,2066,1
240,2048,2059,2066,1
240,2042,2065,2071,1
240,2046,2062,2071,1
240,2048,2062,2058,1
240,2048,2051,2062,1
240,2047,2058,2062,1
240,2052,2041,2054,1
240,2043,2041,2063,1
240,2048,2051,2048,1
240,2046,2044,2044,1
240,2046,2040,2048,1
240,2046,2047,2048,1
240,2049,2047,2046,1
240,2040,2040,2055,1
240,2041,2049,2039,1
240,2047,2037,2043,1
240,2041,2033,2043,1
240,2037,2033,2038,1
240,2037,2031,2031,1
240,2039,2027,2031,1
240,2039,2033,2026,1
240,2037,2025,2030,1
240,2034,2031,2028,1
240,2043,2024,2025,1
240,2038,2025,2021,1
240,2039,2022,2021,1
240,2037,2022,2030,1
240,2039,2020,2031,1
240,2036,2023,2036,1
240,2040,2023,2029,1
240,2037,2020,2038,1
240,2036,2020,2030,1
240,2036,2033,2030,1
240,2038,2030,2030,1
240,2036,2045,2039,1
240,2042,2045,2035,1
