Time (s),G0_Short,G0_Long1,G0_Long2,G0_Emitter,G1_Short,G1_Long1,G1_Long2,G1_Emitter,G2_Short,G2_Long1,G2_Long2,G2_Emitter,G3_Short,G3_Long1,G3_Long2,G3_Emitter,G4_Short,G4_Long1,G4_Long2,G4_Emitter,G5_Short,G5_Long1,G5_Long2,G5_Emitter,G6_Short,G6_Long1,G6_Long2,G6_Emitter,G7_Short,G7_Long1,G7_Long2,G7_Emitter
0.0,2069,2076,2080,1,2080,2098,2095,1,2103,2122,2126,1,2102,2103,2129,1,2041,2059,2062,1,1977,2003,1994,1,2368,2392,2392,1,60,59,59,1
0.001,2068,2075,2080,1,2080,2098,2095,1,2102,2121,2126,1,2101,2103,2127,1,2039,2056,2065,1,1974,2000,1995,1,2365,2387,2390,1,60,59,59,1
0.002,2069,2073,2080,1,2080,2098,2095,1,2102,2120,2126,1,2102,2102,2128,1,2041,2054,2064,1,1977,1997,1995,1,2367,2384,2390,1,60,59,59,1
0.003,2069,2074,2079,1,2080,2098,2095,1,2102,2120,2126,1,2102,2102,2128,1,2041,2054,2064,1,1977,1997,1995,1,2367,2384,2389,1,60,59,59,1
0.004,2069,2074,2079,1,2080,2098,2095,1,2102,2120,2126,1,2102,2102,2128,1,2041,2053,2064,1,1977,1997,1995,1,2367,2384,2389,1,60,59,59,1
0.005,2069,2074,2079,1,2080,2098,2095,1,2103,2120,2126,1,2103,2102,2127,1,2042,2053,2065,1,1978,1997,1996,1,2367,2384,2388,1,60,59,59,1
0.006,2069,2074,2079,1,2080,2098,2096,1,2102,2121,2126,1,2102,2102,2127,1,2040,2054,2067,1,1975,1998,1997,1,2365,2384,2388,1,60,59,59,1
0.007,2070,2074,2080,1,2081,2098,2096,1,2103,2121,2126,1,2103,2103,2128,1,2041,2052,2066,1,1977,1995,1997,1,2366,2381,2390,1,60,59,59,1
0.008,2072,2076,2080,1,2082,2099,2096,1,2105,2123,2127,1,2105,2104,2128,1,2045,2056,2068,1,1983,2001,1999,1,2371,2387,2390,1,60,59,59,1
0.009,2072,2076,2080,1,2082,2099,2097,1,2105,2123,2128,1,2105,2104,2129,1,2043,2054,2069,1,1980,1999,2000,1,2369,2384,2392,1,60,59,59,1
0.01,2072,2076,2081,1,2083,2100,2097,1,2105,2124,2128,1,2105,2104,2129,1,2044,2055,2069,1,1980,2000,2000,1,2369,2385,2392,1,60,59,59,1
0.011,2072,2076,2081,1,2083,2100,2097,1,2105,2124,2128,1,2105,2104,2130,1,2045,2055,2069,1,1980,2000,2001,1,2369,2385,2393,1,60,59,59,1
0.012,2072,2076,2081,1,2083,2100,2097,1,2105,2123,2128,1,2105,2104,2130,1,2045,2055,2069,1,1980,1999,2001,1,2369,2386,2391,1,60,59,59,1
0.013,2072,2076,2081,1,2083,2099,2097,1,2105,2122,2128,1,2105,2104,2130,1,2045,2052,2067,1,1980,1996,2000,1,2369,2383,2392,1,60,59,59,1
0.014,2072,2076,2081,1,2083,2099,2097,1,2105,2123,2127,1,2105,2104,2129,1,2046,2056,2068,1,1983,2001,2000,1,2371,2388,2391,1,60,59,59,1
0.015,2070,2075,2080,1,2082,2098,2097,1,2104,2122,2126,1,2103,2103,2127,1,2042,2054,2068,1,1978,1998,1998,1,2368,2385,2390,1,60,59,59,1
0.016,2070,2073,2080,1,2082,2097,2096,1,2104,2121,2126,1,2103,2102,2128,1,2043,2052,2066,1,1979,1996,1998,1,2369,2384,2390,1,60,59,59,1
0.016,2070,2074,2080,1,2082,2097,2096,1,2104,2121,2126,1,2103,2102,2128,1,2043,2052,2065,1,1979,1996,1996,1,2369,2384,2389,1,60,59,59,1
0.018,2070,2074,2080,1,2081,2097,2096,1,2103,2121,2126,1,2102,2102,2128,1,2042,2052,2065,1,1977,1995,1996,1,2369,2383,2389,1,60,59,59,1
0.019,2070,2074,2079,1,2081,2097,2096,1,2103,2121,2126,1,2102,2102,2127,1,2042,2052,2064,1,1978,1995,1996,1,2368,2383,2388,1,60,59,59,1
0.019,2069,2074,2079,1,2080,2097,2096,1,2102,2121,2126,1,2101,2102,2127,1,2039,2052,2065,1,1974,1995,1997,1,2365,2382,2387,1,60,59,59,1
0.021,2069,2074,2079,1,2080,2097,2096,1,2102,2120,2126,1,2102,2102,2128,1,2041,2049,2064,1,1976,1992,1996,1,2366,2379,2388,1,60,59,59,1
0.022,2070,2075,2079,1,2081,2098,2096,1,2103,2121,2126,1,2103,2102,2127,1,2044,2053,2065,1,1981,1997,1997,1,2370,2385,2388,1,60,59,59,1
0.023,2069,2075,2079,1,2081,2098,2097,1,2102,2121,2126,1,2102,2102,2128,1,2041,2052,2066,1,1977,1995,1999,1,2367,2382,2389,1,60,59,59,1
0.024,2070,2076,2080,1,2081,2099,2097,1,2104,2122,2126,1,2104,2103,2128,1,2042,2054,2066,1,1978,1997,1999,1,2368,2383,2389,1,60,59,59,1
0.025,2070,2076,2081,1,2082,2099,2097,1,2105,2122,2127,1,2104,2103,2129,1,2043,2054,2068,1,1979,1997,2000,1,2368,2383,2391,1,60,59,59,1
